rank,eigenvalue,filtered_eigenvalue,retained,method,window_end,n_assets,window_length,mp_lower_edge,mp_upper_edge,n_selected_factors,input_transform
16,0.10835633280939391,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
17,0.10595830253125064,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
18,0.09392328980555438,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
19,0.06823152368433788,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
20,0.06038119148822271,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
21,0.0551983465402886,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
22,0.04717382246550072,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
23,0.03871175141510105,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
24,0.028523869467437922,0.0,False,raw_pca,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,14,log1p_return_standardization
1,17.64764851492309,17.64764851492309,True,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
2,0.9965325785914022,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
3,0.7705534712200575,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
4,0.668426152474785,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
5,0.5586751140798693,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
6,0.4603872231686556,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
7,0.44785868324024775,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
8,0.3757407333744214,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
9,0.2954996511887162,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
10,0.26538344535465547,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
11,0.22429615846625336,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
12,0.201451252143004,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
13,0.17622801747047886,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
14,0.15758587100612587,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
15,0.14727470309115753,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
16,0.10835633280939391,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
17,0.10595830253125064,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
18,0.09392328980555438,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
19,0.06823152368433788,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
20,0.06038119148822271,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
21,0.0551983465402886,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
22,0.04717382246550072,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
23,0.03871175141510105,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
24,0.028523869467437922,0.0,False,rmt,2022-12-30,24,63,0.14652558125564566,2.6153791806491165,1,log1p_return_standardization
