date,strategy,family,method,n_selected_factors,mp_lower_edge,mp_upper_edge,top_eigenvalue,avg_abs_zscore,n_active_positions
2022-08-08,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.773324791987978,0.8582236706065265,24
2022-08-08,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.773324791987978,0.8582236706065265,24
2022-08-09,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.6096657645401542,24
2022-08-09,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.79789453391318,0.7148112087910662,24
2022-08-09,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.79789453391318,0.7148112087910662,24
2022-08-09,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.79789453391318,0.6339677077843422,24
2022-08-09,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.79789453391318,0.6339677077843422,24
2022-08-10,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.8822466813157935,24
2022-08-10,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.817045274667944,0.6925465210310359,24
2022-08-10,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.817045274667944,0.6925465210310359,24
2022-08-10,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.817045274667944,0.857671286302598,24
2022-08-10,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.817045274667944,0.857671286302598,24
2022-08-11,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.6728132881227449,24
2022-08-11,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.805789734600143,0.9532746367622372,24
2022-08-11,raw_pca_stabilized,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.805789734600143,0.9532746367622372,24
2022-08-11,rmt_filtered_residual,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.805789734600143,0.7993576771188616,24
2022-08-11,rmt_filtered_conservative,rmt_filtered,rmt,1.0,0.14652558125564566,2.6153791806491165,17.805789734600143,0.7993576771188616,24
2022-08-12,sector_baseline,baseline,sector,0.0,0.0,0.0,0.0,0.6756189727373686,24
2022-08-12,raw_pca_residual,raw_pca,raw_pca,14.0,0.14652558125564566,2.6153791806491165,17.74476894873391,0.7595500937075212,24
