date,ticker,sector,close,volume,benchmark_close
2024-02-28,GOOGL,communication_services,136.38,37328560.0,506.26
2024-02-28,GS,financials,393.18,2572859.0,506.26
2024-02-28,HD,consumer,377.61,2282512.0,506.26
2024-02-28,HON,industrials,187.2781,2664144.0,506.26
2024-02-28,JNJ,healthcare,161.55,6071076.0,506.26
2024-02-28,JPM,financials,184.38,6131608.0,506.26
2024-02-28,MCD,consumer,295.19,2507286.0,506.26
2024-02-28,META,communication_services,484.02,12715490.0,506.26
2024-02-28,MRK,healthcare,128.19,5697212.0,506.26
2024-02-28,MSFT,technology,407.72,13183130.0,506.26
2024-02-28,NFLX,communication_services,59.648,26052420.0,506.26
2024-02-28,ORCL,technology,111.68,5278179.0,506.26
2024-02-28,PFE,healthcare,27.04,31010180.0,506.26
2024-02-28,UNP,industrials,253.99,1885806.0,506.26
2024-02-28,UPS,industrials,147.77,2258727.0,506.26
2024-02-28,WMT,consumer,59.62,14803290.0,506.26
2024-02-29,AAPL,technology,180.75,136682600.0,508.08
2024-02-29,ABBV,healthcare,176.05,7485722.0,508.08
2024-02-29,BAC,financials,34.52,43863400.0,508.08
2024-02-29,BLK,financials,811.34,758799.0,508.08
2024-02-29,CAT,industrials,333.96,2699773.0,508.08
2024-02-29,COST,consumer,743.89,3361185.0,508.08
2024-02-29,CSCO,technology,48.37,22962460.0,508.08
2024-02-29,DIS,communication_services,111.58,11658290.0,508.08
2024-02-29,GOOGL,communication_services,138.46,42132950.0,508.08
2024-02-29,GS,financials,389.05,3139123.0,508.08
2024-02-29,HD,consumer,380.61,4382836.0,508.08
2024-02-29,HON,industrials,188.3776,3437346.0,508.08
2024-02-29,JNJ,healthcare,161.38,9849270.0,508.08
2024-02-29,JPM,financials,186.06,9643012.0,508.08
2024-02-29,MCD,consumer,292.28,3601848.0,508.08
2024-02-29,META,communication_services,490.13,17732050.0,508.08
2024-02-29,MRK,healthcare,127.15,11246130.0,508.08
2024-02-29,MSFT,technology,413.64,31947260.0,508.08
2024-02-29,NFLX,communication_services,60.292,35720820.0,508.08
2024-02-29,ORCL,technology,111.68,12193860.0,508.08
2024-02-29,PFE,healthcare,26.56,54643160.0,508.08
2024-02-29,UNP,industrials,253.69,3022146.0,508.08
2024-02-29,UPS,industrials,148.26,3338814.0,508.08
2024-02-29,WMT,consumer,58.61,29245140.0,508.08
2024-03-01,AAPL,technology,179.66,73563080.0,512.85
2024-03-01,ABBV,healthcare,178.91,4028935.0,512.85
2024-03-01,BAC,financials,34.35,38432320.0,512.85
2024-03-01,BLK,financials,814.83,431336.0,512.85
2024-03-01,CAT,industrials,336.7,1815536.0,512.85
2024-03-01,COST,consumer,749.44,1678119.0,512.85
2024-03-01,CSCO,technology,48.4,18508070.0,512.85
2024-03-01,DIS,communication_services,111.95,7242396.0,512.85
2024-03-01,GOOGL,communication_services,137.14,31151120.0,512.85
2024-03-01,GS,financials,388.1,1573017.0,512.85
2024-03-01,HD,consumer,384.45,2750902.0,512.85
2024-03-01,HON,industrials,188.3208,2785462.0,512.85
2024-03-01,JNJ,healthcare,162.12,5670135.0,512.85
2024-03-01,JPM,financials,185.29,6311996.0,512.85
2024-03-01,MCD,consumer,290.73,3028869.0,512.85
2024-03-01,META,communication_services,502.3,15884880.0,512.85
2024-03-01,MRK,healthcare,126.96,6023528.0,512.85
2024-03-01,MSFT,technology,415.5,17823450.0,512.85
2024-03-01,NFLX,communication_services,61.934,42703050.0,512.85
2024-03-01,ORCL,technology,113.78,7605145.0,512.85
2024-03-01,PFE,healthcare,26.59,46392100.0,512.85
2024-03-01,UNP,industrials,252.98,2811430.0,512.85
2024-03-01,UPS,industrials,148.06,2936220.0,512.85
2024-03-01,WMT,consumer,58.76,19030920.0,512.85
2024-03-04,AAPL,technology,175.1,81510100.0,512.3
2024-03-04,ABBV,healthcare,177.05,4723582.0,512.3
2024-03-04,BAC,financials,35.15,49136380.0,512.3
2024-03-04,BLK,financials,834.47,858869.0,512.3
2024-03-04,CAT,industrials,338.65,1551197.0,512.3
2024-03-04,COST,consumer,759.18,2133354.0,512.3
2024-03-04,CSCO,technology,49.13,25214520.0,512.3
2024-03-04,DIS,communication_services,113.69,11558850.0,512.3
2024-03-04,GOOGL,communication_services,133.35,55999420.0,512.3
2024-03-04,GS,financials,392.25,1955263.0,512.3
2024-03-04,HD,consumer,380.37,2619007.0,512.3
2024-03-04,HON,industrials,188.8611,2148909.0,512.3
2024-03-04,JNJ,healthcare,159.84,8533083.0,512.3
2024-03-04,JPM,financials,186.68,7063605.0,512.3
2024-03-04,MCD,consumer,290.94,2832011.0,512.3
2024-03-04,META,communication_services,498.19,12324140.0,512.3
2024-03-04,MRK,healthcare,124.05,12706170.0,512.3
